Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToRegExport
BASE,BM,Baffle,DIN,Manag_Unit_48,t/yr,90.8103972067692
BASE,BM,Baffle,DIP,Manag_Unit_48,t/yr,23.516277650351434
BASE,BM,Baffle,DON,Manag_Unit_48,t/yr,350.6102874935411
BASE,BM,Baffle,DOP,Manag_Unit_48,t/yr,13.728734463269701
BASE,BM,Baffle,FS,Manag_Unit_48,kt/yr,26.87539512064479
BASE,BM,Baffle,PN,Manag_Unit_48,t/yr,99.71326930134823
BASE,BM,Baffle,PP,Manag_Unit_48,t/yr,54.520897532610476
BASE,BM,Burnett,DIN,Manag_Unit_48,t/yr,224.83406609825883
BASE,BM,Burnett,DIP,Manag_Unit_48,t/yr,44.6516532639793
BASE,BM,Burnett,DON,Manag_Unit_48,t/yr,482.7046369216822
BASE,BM,Burnett,DOP,Manag_Unit_48,t/yr,22.762181054742168
BASE,BM,Burnett,FS,Manag_Unit_48,kt/yr,239.50183205511175
BASE,BM,Burnett,PN,Manag_Unit_48,t/yr,562.2191192987652
BASE,BM,Burnett,PP,Manag_Unit_48,t/yr,193.6728445719585
BASE,BM,Burrum,DIN,Manag_Unit_48,t/yr,76.9922206448767
BASE,BM,Burrum,DIP,Manag_Unit_48,t/yr,14.972940850566399
BASE,BM,Burrum,DON,Manag_Unit_48,t/yr,162.8173414013323
BASE,BM,Burrum,DOP,Manag_Unit_48,t/yr,7.401716774615
BASE,BM,Burrum,FS,Manag_Unit_48,kt/yr,14.682937690796358
BASE,BM,Burrum,PN,Manag_Unit_48,t/yr,48.14796050323103
BASE,BM,Burrum,PP,Manag_Unit_48,t/yr,16.214563348402834
BASE,BM,Kolan,DIN,Manag_Unit_48,t/yr,90.18655827123196
BASE,BM,Kolan,DIP,Manag_Unit_48,t/yr,13.366370567127701
BASE,BM,Kolan,DON,Manag_Unit_48,t/yr,173.53119891385754
BASE,BM,Kolan,DOP,Manag_Unit_48,t/yr,7.401401390334333
BASE,BM,Kolan,FS,Manag_Unit_48,kt/yr,47.32681123784343
BASE,BM,Kolan,PN,Manag_Unit_48,t/yr,163.81510831558865
BASE,BM,Kolan,PP,Manag_Unit_48,t/yr,54.500676732001
BASE,BM,Mary,DIN,Manag_Unit_48,t/yr,389.47282145483916
BASE,BM,Mary,DIP,Manag_Unit_48,t/yr,46.64977187093777
BASE,BM,Mary,DON,Manag_Unit_48,t/yr,933.9056633084733
BASE,BM,Mary,DOP,Manag_Unit_48,t/yr,36.0390869219554
BASE,BM,Mary,FS,Manag_Unit_48,kt/yr,278.2812026074517
BASE,BM,Mary,PN,Manag_Unit_48,t/yr,707.1005855728972
BASE,BM,Mary,PP,Manag_Unit_48,t/yr,275.18496731549675
BASE,BU,Belyando,DIN,Manag_Unit_48,t/yr,27.24932500775771
BASE,BU,Belyando,DIP,Manag_Unit_48,t/yr,27.111087164028287
BASE,BU,Belyando,DON,Manag_Unit_48,t/yr,235.6618481699373
BASE,BU,Belyando,DOP,Manag_Unit_48,t/yr,11.105886980588298
BASE,BU,Belyando,FS,Manag_Unit_48,kt/yr,26.16051324739263
BASE,BU,Belyando,PN,Manag_Unit_48,t/yr,22.977976351974757
BASE,BU,Belyando,PP,Manag_Unit_48,t/yr,19.269000707658197
BASE,BU,Black,DIN,Manag_Unit_48,t/yr,57.511446488078874
BASE,BU,Black,DIP,Manag_Unit_48,t/yr,22.64626549591216
BASE,BU,Black,DON,Manag_Unit_48,t/yr,179.48121498567494
BASE,BU,Black,DOP,Manag_Unit_48,t/yr,8.04687295385629
BASE,BU,Black,FS,Manag_Unit_48,kt/yr,37.57214178076261
BASE,BU,Black,PN,Manag_Unit_48,t/yr,68.86476365491482
BASE,BU,Black,PP,Manag_Unit_48,t/yr,26.56741382190892
BASE,BU,Bowen Bogie,DIN,Manag_Unit_48,t/yr,240.62957950053473
BASE,BU,Bowen Bogie,DIP,Manag_Unit_48,t/yr,66.06418801018506
BASE,BU,Bowen Bogie,DON,Manag_Unit_48,t/yr,394.770283771829
BASE,BU,Bowen Bogie,DOP,Manag_Unit_48,t/yr,24.869836192510714
BASE,BU,Bowen Bogie,FS,Manag_Unit_48,kt/yr,1681.1967698370509
BASE,BU,Bowen Bogie,PN,Manag_Unit_48,t/yr,1993.927822249963
BASE,BU,Bowen Bogie,PP,Manag_Unit_48,t/yr,1401.893571177237
BASE,BU,Burdekin Delta,DIN,Manag_Unit_48,t/yr,423.1886550339644
BASE,BU,Burdekin Delta,DIP,Manag_Unit_48,t/yr,32.5520882290258
BASE,BU,Burdekin Delta,DON,Manag_Unit_48,t/yr,69.76345404282291
BASE,BU,Burdekin Delta,DOP,Manag_Unit_48,t/yr,9.572454773710096
BASE,BU,Burdekin Delta,FS,Manag_Unit_48,kt/yr,33.68739774077541
BASE,BU,Burdekin Delta,PN,Manag_Unit_48,t/yr,90.54376302402176
BASE,BU,Burdekin Delta,PP,Manag_Unit_48,t/yr,53.336054587956816
BASE,BU,Cape Campaspe,DIN,Manag_Unit_48,t/yr,31.39898609652982
BASE,BU,Cape Campaspe,DIP,Manag_Unit_48,t/yr,16.23299584300551
BASE,BU,Cape Campaspe,DON,Manag_Unit_48,t/yr,212.185239939919
BASE,BU,Cape Campaspe,DOP,Manag_Unit_48,t/yr,15.970449371703424
BASE,BU,Cape Campaspe,FS,Manag_Unit_48,kt/yr,48.688183689665536
BASE,BU,Cape Campaspe,PN,Manag_Unit_48,t/yr,95.4412388990403
BASE,BU,Cape Campaspe,PP,Manag_Unit_48,t/yr,33.099487918285575
BASE,BU,Don,DIN,Manag_Unit_48,t/yr,101.91996715806238
BASE,BU,Don,DIP,Manag_Unit_48,t/yr,38.53087363556934
BASE,BU,Don,DON,Manag_Unit_48,t/yr,178.6298888311553
BASE,BU,Don,DOP,Manag_Unit_48,t/yr,19.210750040683156
BASE,BU,Don,FS,Manag_Unit_48,kt/yr,151.72552493643337
BASE,BU,Don,PN,Manag_Unit_48,t/yr,288.76022639910934
BASE,BU,Don,PP,Manag_Unit_48,t/yr,126.51457570142705
BASE,BU,East Burdekin,DIN,Manag_Unit_48,t/yr,48.875923781973874
BASE,BU,East Burdekin,DIP,Manag_Unit_48,t/yr,12.347898190068944
BASE,BU,East Burdekin,DON,Manag_Unit_48,t/yr,80.19672151742782
BASE,BU,East Burdekin,DOP,Manag_Unit_48,t/yr,4.870575300301147
BASE,BU,East Burdekin,FS,Manag_Unit_48,kt/yr,119.74486725153227
BASE,BU,East Burdekin,PN,Manag_Unit_48,t/yr,111.1654026029121
BASE,BU,East Burdekin,PP,Manag_Unit_48,t/yr,102.60613099355905
BASE,BU,Haughton,DIN,Manag_Unit_48,t/yr,388.73457712311273
BASE,BU,Haughton,DIP,Manag_Unit_48,t/yr,55.23795615922211
BASE,BU,Haughton,DON,Manag_Unit_48,t/yr,301.42582514835055
BASE,BU,Haughton,DOP,Manag_Unit_48,t/yr,19.086264401259754
BASE,BU,Haughton,FS,Manag_Unit_48,kt/yr,101.28641697399645
BASE,BU,Haughton,PN,Manag_Unit_48,t/yr,308.5995603142458
BASE,BU,Haughton,PP,Manag_Unit_48,t/yr,111.66787439833121
BASE,BU,Ross,DIN,Manag_Unit_48,t/yr,88.02321273491364
BASE,BU,Ross,DIP,Manag_Unit_48,t/yr,26.874517787127488
BASE,BU,Ross,DON,Manag_Unit_48,t/yr,171.41753645779264
BASE,BU,Ross,DOP,Manag_Unit_48,t/yr,8.357242033716352
BASE,BU,Ross,FS,Manag_Unit_48,kt/yr,42.265719395563835
BASE,BU,Ross,PN,Manag_Unit_48,t/yr,106.38739713508353
BASE,BU,Ross,PP,Manag_Unit_48,t/yr,41.52815782017562
BASE,BU,Suttor,DIN,Manag_Unit_48,t/yr,40.77212623000733
BASE,BU,Suttor,DIP,Manag_Unit_48,t/yr,32.692064587166335
BASE,BU,Suttor,DON,Manag_Unit_48,t/yr,333.57127860007483
BASE,BU,Suttor,DOP,Manag_Unit_48,t/yr,13.925528864608843
BASE,BU,Suttor,FS,Manag_Unit_48,kt/yr,33.288975454211595
BASE,BU,Suttor,PN,Manag_Unit_48,t/yr,45.16835988515277
BASE,BU,Suttor,PP,Manag_Unit_48,t/yr,22.418357356258635
BASE,BU,Upper Burdekin,DIN,Manag_Unit_48,t/yr,446.35977052800166
BASE,BU,Upper Burdekin,DIP,Manag_Unit_48,t/yr,98.73259536963684
BASE,BU,Upper Burdekin,DON,Manag_Unit_48,t/yr,1091.4440977538632
BASE,BU,Upper Burdekin,DOP,Manag_Unit_48,t/yr,97.72453615827078
BASE,BU,Upper Burdekin,FS,Manag_Unit_48,kt/yr,1163.6692357051154
BASE,BU,Upper Burdekin,PN,Manag_Unit_48,t/yr,1111.2447248408023
BASE,BU,Upper Burdekin,PP,Manag_Unit_48,t/yr,794.1980754789125
BASE,CY,Endeavour,DIN,Manag_Unit_48,t/yr,49.70973078127869
BASE,CY,Endeavour,DIP,Manag_Unit_48,t/yr,8.041591649453645
BASE,CY,Endeavour,DON,Manag_Unit_48,t/yr,270.3568498859605
BASE,CY,Endeavour,DOP,Manag_Unit_48,t/yr,16.493605897428708
BASE,CY,Endeavour,FS,Manag_Unit_48,kt/yr,90.50981553979065
BASE,CY,Endeavour,PN,Manag_Unit_48,t/yr,353.76824478490084
BASE,CY,Endeavour,PP,Manag_Unit_48,t/yr,127.1696451999104
BASE,CY,Jacky Jacky,DIN,Manag_Unit_48,t/yr,47.81567388876562
BASE,CY,Jacky Jacky,DIP,Manag_Unit_48,t/yr,4.239978098794944
BASE,CY,Jacky Jacky,DON,Manag_Unit_48,t/yr,286.126305874113
BASE,CY,Jacky Jacky,DOP,Manag_Unit_48,t/yr,16.7856297031804
BASE,CY,Jacky Jacky,FS,Manag_Unit_48,kt/yr,11.914721119516043
BASE,CY,Jacky Jacky,PN,Manag_Unit_48,t/yr,193.2572840448327
BASE,CY,Jacky Jacky,PP,Manag_Unit_48,t/yr,70.7842329794796
BASE,CY,Jeannie,DIN,Manag_Unit_48,t/yr,33.28380567061123
BASE,CY,Jeannie,DIP,Manag_Unit_48,t/yr,4.729297635838116
BASE,CY,Jeannie,DON,Manag_Unit_48,t/yr,200.15788342324632
BASE,CY,Jeannie,DOP,Manag_Unit_48,t/yr,12.548608720392577
BASE,CY,Jeannie,FS,Manag_Unit_48,kt/yr,52.25516727678507
BASE,CY,Jeannie,PN,Manag_Unit_48,t/yr,205.49244091426758
BASE,CY,Jeannie,PP,Manag_Unit_48,t/yr,109.08887275774818
BASE,CY,Lockhart,DIN,Manag_Unit_48,t/yr,39.771023603287944
BASE,CY,Lockhart,DIP,Manag_Unit_48,t/yr,3.443928895630672
BASE,CY,Lockhart,DON,Manag_Unit_48,t/yr,229.12524702850638
BASE,CY,Lockhart,DOP,Manag_Unit_48,t/yr,13.880180846156488
BASE,CY,Lockhart,FS,Manag_Unit_48,kt/yr,22.353713851429294
BASE,CY,Lockhart,PN,Manag_Unit_48,t/yr,84.70173031357679
BASE,CY,Lockhart,PP,Manag_Unit_48,t/yr,28.569615833586198
BASE,CY,Normanby,DIN,Manag_Unit_48,t/yr,181.4128071397453
BASE,CY,Normanby,DIP,Manag_Unit_48,t/yr,34.413365062786994
BASE,CY,Normanby,DON,Manag_Unit_48,t/yr,1300.8698756663214
BASE,CY,Normanby,DOP,Manag_Unit_48,t/yr,76.79103353585573
BASE,CY,Normanby,FS,Manag_Unit_48,kt/yr,123.50608362236092
BASE,CY,Normanby,PN,Manag_Unit_48,t/yr,325.19134976891286
BASE,CY,Normanby,PP,Manag_Unit_48,t/yr,122.28806200641029
BASE,CY,Olive Pascoe,DIN,Manag_Unit_48,t/yr,142.956208639259
BASE,CY,Olive Pascoe,DIP,Manag_Unit_48,t/yr,7.725767674327285
BASE,CY,Olive Pascoe,DON,Manag_Unit_48,t/yr,522.663538683254
BASE,CY,Olive Pascoe,DOP,Manag_Unit_48,t/yr,29.621333337075153
BASE,CY,Olive Pascoe,FS,Manag_Unit_48,kt/yr,79.71465174600218
BASE,CY,Olive Pascoe,PN,Manag_Unit_48,t/yr,437.5065052849064
BASE,CY,Olive Pascoe,PP,Manag_Unit_48,t/yr,63.1868290277635
BASE,CY,Stewart,DIN,Manag_Unit_48,t/yr,33.83411031250815
BASE,CY,Stewart,DIP,Manag_Unit_48,t/yr,2.7321938381469915
BASE,CY,Stewart,DON,Manag_Unit_48,t/yr,183.8184732122894
BASE,CY,Stewart,DOP,Manag_Unit_48,t/yr,10.198389219377278
BASE,CY,Stewart,FS,Manag_Unit_48,kt/yr,16.395397502901826
BASE,CY,Stewart,PN,Manag_Unit_48,t/yr,75.4472088762855
BASE,CY,Stewart,PP,Manag_Unit_48,t/yr,21.802467794956264
BASE,FI,Boyne,DIN,Manag_Unit_48,t/yr,28.363546524798966
